"v","pipeline","nMax","survivingDigits","baseCoord","peakX","baselineCurrent","Delta_Baseline","peakY","troughVal","FWHM","curvature","Invariant_Q","CosineMean","Cos99"
320,"g0",10000,155,1.9596405166827013894e89,1.9596405166827013894e89,1.0867499549199271951,0.00036309926229935183786,1.0999848592851484,1.0543616169962928324,0.000787694469161852,-426791.6014295092,0.10188775826021385,0.87005589336044078587,2
340,"y0",10000,147,2.43023530462065739e97,2.43023530462065739e97,0.56835196145456585429,-0.0028806404966772162404,0.7058213393902406,0.67847766542492940916,0.00045257450261404486,-532553.1546896234,0.18047980875539993,-0.32444823074748640741,3
340,"g0",10000,149,5.4656145535155508958e95,5.4656145535155508958e95,1.0797718964458121881,0.0018083149163404044992,1.0863456452977411,1.0745556818448112721,0.0005655151006458403,-168725.77958903392,0.2344342765754629,0.88600782229158909089,2
360,"y0",10000,142,1.1379309329848881238e103,1.1379309329848881238e103,0.60583628441785199454,-0.00043955293677946027226,0.7074043829343282,0.65886353643758668846,0.00144909838319629,-180785.56419002547,0.12102139761649823,-0.38185523203208048327,5
360,"g0",10000,143,6.2217616942651495304e101,6.2217616942651495304e101,1.0646324268401857119,0.0026995300379855164177,1.0653969643108894,1.0375606817432810794,0.0007417911585848634,-211552.49997478133,0.25356247673281324,0.86717021844206466203,2
380,"y0",10000,136,9.7097219046830251564e108,9.7097219046830251564e108,0.63372744957362533919,0.0024936704704012507463,0.7487423457787372,0.73760464078929508862,0.000588090093457394,-144306.0642940007,0.1471758963562762,-0.31974126611630449187,1
400,"y0",10000,129,2.5131879099337254117e115,2.5131879099337254117e115,0.58785310186243019911,-0.0034527163983413776374,0.708396426984109,0.67267580923846869525,0.000773904539314918,-357982.985707129,0.2918029926169838,-0.35310160508280322248,4
440,"y0",10000,118,9.1048462185713087333e126,9.1048462185713087333e126,0.57553451938947575409,0.0017977004696952060666,0.7571762034203857,0.72870935602050688031,0.000905660392292118,-237545.19446454602,0.212580408401558,-0.29199900015051929072,2
460,"y0",10000,112,3.2269032487604448138e132,3.2269032487604448138e132,0.57400097950520793426,0.0022346369374553591103,0.6998639046796598,0.68818182907621206234,0.0005604643421854849,-186513.64119925126,0.2089679945102898,-0.33781933332584910681,2
480,"g0",10000,107,3.8216647451258340014e137,3.8216647451258340014e137,1.0377546780085625981,-0.0028505516733691230344,1.0846851434516125,1.0836160507059776208,0,-176017.71953257264,0.36052661885410525,0.99502084165786222514,17
500,"g0",10000,102,7.08030481146474976e142,7.08030481146474976e142,1.0865100349957879681,0.0020666303104263723422,1.112425444083004,1.1012795007446804228,0.0005103467260289588,-181986.08307359897,0.2450750585197266,0.99756953269020118293,19
520,"g0",10000,96,1.1392690426332763335e149,1.1392690426332763335e149,1.0310575322323577107,-0.0014724579549205776691,1.056057345311293,1.0457219149607986568,0.00032975169248990535,-361574.55985856097,0.18260001572455023,0.99705651646316321036,19
580,"g0",10000,78,8.3694971046527653545e166,8.3694971046527653545e166,1.0805837882285466707,-0.0019406420279293107894,1.0805885965970925,1.0759570325561191929,0.0002778952400264226,-236086.91159178238,0.2666747450655064,0.9989277557376977393,20
600,"y0",10000,71,1.0624841350649018815e174,1.0624841350649018815e174,0.60547935796047974539,-0.0012833552970092159166,0.7234719643602148,0.70493571126634124762,0.0004871122382610338,-326671.34859899356,0.2089156285282809,-0.33398802409428041061,4
620,"g0",10000,66,6.9257977473424946435e178,6.9257977473424946435e178,1.0749822999131958375,-0.00075867779702548569974,1.0906737301950997,1.0797856499173197924,0.0003672360775379983,-319886.1069832173,0.2176545738107685,0.99960625256591483218,20
640,"y0",10000,59,7.4815040259844364057e185,7.4815040259844364057e185,0.59012285829731828881,0.0016217649439926700676,0.7372086315299384,0.70274437046735077793,0.0009643634721490102,-206736.54551231847,0.3945876320471754,-0.33830143977016109885,5
640,"g0",10000,60,8.3566206024602586978e184,8.3566206024602586978e184,1.0886696119294323203,0.0013546252771620750281,1.089576189993643,1.0763127226779568227,0.0003476252796803791,-409272.26438413584,0.19001131526518114,0.9998692625538979805,20
660,"y0",10000,52,2.6612947740246524226e192,2.6612947740246524226e192,0.56072295335176535924,0.0076484804200021770342,0.6952669062884524,0.6703389608140675973,0.0005613608093701927,-366652.06436089694,0.23753200885455023,-0.33802460596796842418,5
660,"g0",10000,54,2.5593227540291390575e190,2.5593227540291390575e190,1.0877192276874778688,0.0016516798368125547451,1.0882276842131995,1.0755041789362068232,0.00035349892135794875,-397504.7704173905,0.23279599340033116,0.99992213475977056095,20
